2026-06-09 20:13:53 | INFO     | Loading model 'Clinical-AI-Apollo/Medical-NER'...
2026-06-09 20:13:56 | INFO     | Model loaded successfully.
2026-06-09 20:13:56 | INFO     | Found 25 medical terms.
2026-06-09 20:13:57 | INFO     | No Wikipedia article for 'lifestyle modifications'.
2026-06-09 20:13:57 | INFO     | No Wikipedia article for 'walls of the arteries'.
2026-06-09 20:13:58 | INFO     | Fetched descriptions for 25 terms.
2026-06-09 20:20:00 | INFO     | Loading model 'Clinical-AI-Apollo/Medical-NER'...
2026-06-09 20:20:02 | INFO     | Model loaded successfully.
2026-06-09 20:20:02 | INFO     | Found 1 medical terms.
2026-06-09 20:20:02 | INFO     | Found 1 medical terms.
2026-06-09 20:20:02 | INFO     | Found 2 medical terms.
2026-06-09 20:21:21 | INFO     | Loading model 'Clinical-AI-Apollo/Medical-NER'...
2026-06-09 20:21:24 | INFO     | Model loaded successfully.
2026-06-09 20:21:25 | INFO     | Found 27 medical terms.
2026-06-09 20:21:26 | INFO     | No Wikipedia article for 'lifestyle modifications'.
2026-06-09 20:21:26 | INFO     | No Wikipedia article for 'walls of the arteries'.
2026-06-09 20:21:26 | INFO     | No Wikipedia article for 'salt intake'.
2026-06-09 20:21:26 | INFO     | Fetched descriptions for 27 terms.
2026-06-09 20:21:55 | INFO     | PDF exported: C:\Users\X\Desktop\NTP_new\medical_terms.pdf (27 terms).
2026-06-09 20:23:00 | INFO     | Loading model 'Clinical-AI-Apollo/Medical-NER'...
2026-06-09 20:23:01 | INFO     | Model loaded successfully.
2026-06-09 20:23:01 | INFO     | Found 2 medical terms.
2026-06-09 20:29:33 | INFO     | Loading model 'Clinical-AI-Apollo/Medical-NER'...
2026-06-09 20:29:35 | INFO     | Model loaded successfully.
2026-06-09 20:29:35 | INFO     | Found 11 medical terms.
2026-06-09 20:29:36 | INFO     | No Wikipedia article for 'blood pressure monitoring'.
2026-06-09 20:29:36 | INFO     | Fetched descriptions for 11 terms.
2026-06-09 20:31:54 | INFO     | Loading model 'Clinical-AI-Apollo/Medical-NER'...
2026-06-09 20:31:55 | INFO     | Model loaded successfully.
2026-06-09 20:31:55 | INFO     | Found 11 medical terms.
2026-06-09 20:31:56 | INFO     | No Wikipedia article for 'blood pressure monitoring'.
2026-06-09 20:31:56 | INFO     | Fetched descriptions for 11 terms.
2026-06-10 10:26:10 | INFO     | CSV exported: C:\Users\X\AppData\Local\Temp\tmpla1nk514\out.csv (2 terms).
2026-06-10 10:26:10 | INFO     | CSV exported: C:\Users\X\AppData\Local\Temp\tmp68yl31mo\out.csv (2 terms).
2026-06-10 10:26:10 | INFO     | CSV exported: C:\Users\X\AppData\Local\Temp\tmp3hlzpqe9\ret.csv (2 terms).
2026-06-10 10:26:11 | INFO     | PDF exported: C:\Users\X\AppData\Local\Temp\tmplkh9wtkw\out.pdf (2 terms).
2026-06-10 10:26:11 | INFO     | No Wikipedia article for 'stroke' (HTTP 403).
2026-06-10 10:26:11 | INFO     | No Wikipedia article for 'zzz'.
2026-06-10 10:26:11 | INFO     | Found 6 medical terms.
2026-06-10 10:26:11 | INFO     | Found 1 medical terms.
2026-06-10 10:26:11 | INFO     | Found 0 medical terms.
2026-06-10 10:26:11 | INFO     | Found 0 medical terms.
2026-06-10 10:26:11 | INFO     | Found 1 medical terms.
2026-06-10 10:26:11 | INFO     | Found 3 medical terms.
2026-06-10 10:58:57 | INFO     | CSV exported: C:\Users\X\AppData\Local\Temp\tmpb8x5u23v\out.csv (2 terms).
2026-06-10 10:58:57 | INFO     | CSV exported: C:\Users\X\AppData\Local\Temp\tmp1n2eydfp\out.csv (2 terms).
2026-06-10 10:58:57 | INFO     | CSV exported: C:\Users\X\AppData\Local\Temp\tmp_x_09kor\ret.csv (2 terms).
2026-06-10 10:58:58 | INFO     | PDF exported: C:\Users\X\AppData\Local\Temp\tmp52hbrtcx\out.pdf (2 terms).
2026-06-10 10:58:58 | INFO     | No Wikipedia article for 'stroke' (HTTP 403).
2026-06-10 10:58:58 | INFO     | No Wikipedia article for 'zzz'.
2026-06-10 10:58:58 | INFO     | Found 6 medical terms.
2026-06-10 10:58:58 | INFO     | Found 1 medical terms.
2026-06-10 10:58:58 | INFO     | Found 0 medical terms.
2026-06-10 10:58:58 | INFO     | Found 0 medical terms.
2026-06-10 10:58:58 | INFO     | Found 1 medical terms.
2026-06-10 10:58:58 | INFO     | Found 3 medical terms.
2026-06-10 11:06:11 | INFO     | CSV exported: C:\Users\X\AppData\Local\Temp\tmp9kk5sr2j\out.csv (2 terms).
2026-06-10 11:06:11 | INFO     | CSV exported: C:\Users\X\AppData\Local\Temp\tmp7nvjl3qw\out.csv (2 terms).
2026-06-10 11:06:11 | INFO     | CSV exported: C:\Users\X\AppData\Local\Temp\tmptzdiiq23\ret.csv (2 terms).
2026-06-10 11:06:11 | INFO     | PDF exported: C:\Users\X\AppData\Local\Temp\tmpg_h2oygn\out.pdf (2 terms).
2026-06-10 11:06:11 | INFO     | No Wikipedia article for 'stroke' (HTTP 403).
2026-06-10 11:06:11 | INFO     | No Wikipedia article for 'zzz'.
2026-06-10 11:06:11 | INFO     | Found 6 medical terms.
2026-06-10 11:06:11 | INFO     | Found 1 medical terms.
2026-06-10 11:06:11 | INFO     | Found 0 medical terms.
2026-06-10 11:06:11 | INFO     | Found 0 medical terms.
2026-06-10 11:06:11 | INFO     | Found 1 medical terms.
2026-06-10 11:06:11 | INFO     | Found 3 medical terms.
